What is your Gender?,What is your grade?,What is your Age,Which one do you prefer to watch?,Which one do you prefer to watch?/Movie,Which one do you prefer to watch?/TV Program,Which one do you prefer to watch?/Anime,How often do you watch a Movie ?,What genres of movies do you like to watch?,What genres of movies do you like to watch?/Action,What genres of movies do you like to watch?/Comedy,What genres of movies do you like to watch?/Drama,What genres of movies do you like to watch?/Horror,What genres of movies do you like to watch?/Romance,What genres of movies do you like to watch?/Sci-Fi /Fantasy,What genres of movies do you like to watch?/Cartoon,What genres of movies do you like to watch?/Others,What genres of movies do you like to watch?/Option 9,What genre of anime do you like to watch?,What genre of anime do you like to watch?/Action   ,What genre of anime do you like to watch?/Adventure,What genre of anime do you like to watch?/Comedy,What genre of anime do you like to watch?/Drama,What genre of anime do you like to watch?/Sports,What genre of anime do you like to watch?/Slice of Life,What genre of anime do you like to watch?/ Fantasy,What genre of anime do you like to watch?/Horror,What genre of anime do you like to watch?/Mystery,What genre of anime do you like to watch?/Thriller,What genre of anime do you like to watch?/Psychological,What genre of anime do you like to watch?/Romance,What genre of anime do you like to watch?/Science Fiction ,What genre of anime do you like to watch?/Yaoi ,What genre of anime do you like to watch?/Yuri,What genre of anime do you like to watch?/Others,Which anime demographic category do you watch?,Which anime demographic category do you watch?/Shōnen  ,Which anime demographic category do you watch?/Shōjo,Which anime demographic category do you watch?/ Josei,Which anime demographic category do you watch?/Seinen  ,Which anime demographic category do you watch?/Kodomo-muke,What genres of TV shows do you like?,What genres of TV shows do you like?/Drama,What genres of TV shows do you like?/Comedy,What genres of TV shows do you like?/Reality TV,What genres of TV shows do you like?/Crime,What genres of TV shows do you like?/Action / Adventure,What genres of TV shows do you like?/Science Fiction / Fantasy,What genres of TV shows do you like?/Sports,What genres of TV shows do you like?/News Documentary,What genres of TV shows do you like?/Talk Shows,What genres of TV shows do you like?/Animation,What genres of TV shows do you like?/Others,What genres of TV shows do you like?/Korean Drama,Which Country's TV show do you watch?,Which Country's TV show do you watch?/Nepali,Which Country's TV show do you watch?/American,Which Country's TV show do you watch?/British,Which Country's TV show do you watch?/Chinese,Which Country's TV show do you watch?/Korean,Which Country's TV show do you watch?/Thai ,Which Country's TV show do you watch?/Japanese,Which Country's TV show do you watch?/Indian,Which Country's TV show do you watch?/Others,What type of movie do you like to watch?,What type of movie do you like to watch?/Nepali Movies,What type of movie do you like to watch?/International Movies
Female,12,16,TV Program Anime,0,1,1,once a month,Action Drama Horror Romance Others,1,0,1,1,1,0,0,1,,Action    Adventure Comedy Slice of Life  Fantasy Mystery Thriller Romance,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,Shōnen  ,1,0,0,0,0,,,,,,,,,,,,,,American British Japanese,0,1,1,0,0,0,1,0,0,International Movies,0,1
Male,10,16,Movie Anime,1,0,1,once a week,Action Comedy Horror Romance Cartoon Others,1,1,0,1,1,0,1,1,,Comedy Sports Mystery Psychological Others,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1, Josei,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,International Movies,0,1
Male,9,15,Movie,1,0,0,once a month,Romance,0,0,0,0,1,0,0,0,,Yaoi ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,Crime,0,0,0,1,0,0,0,0,0,0,0,,Korean,0,0,0,0,1,0,0,0,0,International Movies,0,1
Male,11,17,Movie TV Program Anime,1,1,1,twice a week,Action Horror Sci-Fi /Fantasy,1,0,0,1,0,1,0,0,0,Action    Adventure Sports Horror Thriller Psychological Science Fiction ,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,Shōnen  ,1,0,0,0,0,Comedy Talk Shows Others,0,1,0,0,0,0,0,0,1,0,1,0,Nepali American Japanese Indian,1,1,0,0,0,0,1,1,0,Nepali Movies International Movies,1,1
Male,12,18,Anime,0,0,1,once a month,Comedy,0,1,0,0,0,0,0,0,0,Comedy Psychological Romance Others,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,Shōjo Seinen  ,0,1,0,1,0,Comedy Sports News Documentary,0,1,0,0,0,0,1,1,0,0,0,0,American Japanese,0,1,0,0,0,0,1,0,0,Nepali Movies International Movies,1,1
Female,12,17,Movie,1,0,0,once a week,Action Comedy Drama Horror Romance Sci-Fi /Fantasy,1,1,1,1,1,1,0,0,0,Comedy Slice of Life Horror Mystery Thriller Psychological Romance,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,Seinen  ,0,0,0,1,0,Drama Comedy Crime Animation Korean Drama,1,1,0,1,0,0,0,0,0,1,0,1,American Korean Japanese Indian,0,1,0,0,1,0,1,1,0,International Movies,0,1
Male,12,17,Anime,0,0,1,once a month,Comedy,0,1,0,0,0,0,0,0,0, Fantasy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Seinen  ,0,0,0,1,0,Science Fiction / Fantasy,0,0,0,0,0,1,0,0,0,0,0,0,American,0,1,0,0,0,0,0,0,0,International Movies,0,1
Female,12,17,Movie TV Program,1,1,0,once a month,Comedy Drama Horror Romance Sci-Fi /Fantasy Cartoon,0,1,1,1,1,1,1,0,0,Comedy Horror Mystery Romance,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,,,,,,,Drama Comedy Reality TV Crime Science Fiction / Fantasy Talk Shows Animation,1,1,1,1,0,1,0,0,1,1,0,0,American Korean Indian,0,1,0,0,1,0,0,1,0,International Movies,0,1
Female,12,17,TV Program Anime,0,1,1,once a month,Comedy Drama Romance Sci-Fi /Fantasy Others,0,1,1,0,1,1,0,1,0,Adventure Comedy Slice of Life Mystery Thriller,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,Shōjo  Josei,0,1,1,0,0,Drama Comedy Crime Science Fiction / Fantasy Animation Korean Drama,1,1,0,1,0,1,0,0,0,1,0,1,British Korean Japanese,0,0,1,0,1,0,1,0,0,International Movies,0,1
Male,12,18,Movie,1,0,0,twice a week,Action Comedy Romance Sci-Fi /Fantasy,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian,0,0,0,0,0,0,0,1,0,International Movies,0,1
Male,12,18,Movie,1,0,0,once a week,Action Comedy Drama Horror Romance Sci-Fi /Fantasy Cartoon,1,1,1,1,1,1,1,0,0,Action    Adventure Comedy Drama Sports Science Fiction ,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,,,,,,Comedy Reality TV Crime Action / Adventure Science Fiction / Fantasy Animation,0,1,1,1,1,1,0,0,0,1,0,0,Nepali American British Indian,1,1,1,0,0,0,0,1,0,Nepali Movies International Movies,1,1
Female,12,17,Anime,0,0,1,once a month,Action Comedy Romance,1,1,0,0,1,0,0,0,0,Action    Adventure Comedy Slice of Life Romance,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,Shōnen   Shōjo,1,1,0,0,0,Crime Action / Adventure Animation,0,0,0,1,1,0,0,0,0,1,0,0,American British Japanese Indian,0,1,1,0,0,0,1,1,0,International Movies,0,1
Male,12,17,Movie TV Program,1,1,0,once a month,Comedy Horror Romance Sci-Fi /Fantasy Cartoon Others,0,1,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,Comedy Crime Science Fiction / Fantasy Sports News Documentary Others,0,1,0,1,0,1,1,1,0,0,1,0,Nepali American British Indian Others,1,1,1,0,0,0,0,1,1,Nepali Movies International Movies,1,1
Male,12,19,Anime,0,0,1,twice a week,Action Comedy Romance Sci-Fi /Fantasy Others,1,1,0,0,1,1,0,1,0,Slice of Life  Fantasy Romance Yuri Others,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,Shōnen   Seinen  ,1,0,0,1,0,Action / Adventure Science Fiction / Fantasy Animation Others,0,0,0,0,1,1,0,0,0,1,1,0,American Indian Others,0,1,0,0,0,0,0,1,1,International Movies,0,1
Female,12,17,Anime,0,0,1,everyday,Horror Romance Sci-Fi /Fantasy,0,0,0,1,1,1,0,0,0,Adventure Drama Slice of Life Horror Mystery Thriller Psychological Romance Yaoi  Yuri,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,Shōnen   Shōjo,1,1,0,0,0,Comedy Crime Animation Korean Drama,0,1,0,1,0,0,0,0,0,1,0,1,American Chinese Korean Thai  Japanese,0,1,0,1,1,1,1,0,0,International Movies,0,1
