 Gender,Grade,Age,prefer to watch?,Movie,TV Program,Anime,How often do you watch a Movie ?
Female,12,16,TV Program Anime,0,1,1,once a month
Male,10,16,Movie Anime,1,0,1,once a week
Male,9,15,Movie,1,0,0,once a month
Male,11,17,Movie TV Program Anime,1,1,1,twice a week
Male,12,18,Anime,0,0,1,once a month
Female,12,17,Movie,1,0,0,once a week
Male,12,17,Anime,0,0,1,once a month
Female,12,17,Movie TV Program,1,1,0,once a month
Female,12,17,TV Program Anime,0,1,1,once a month
Male,12,18,Movie,1,0,0,twice a week
Male,12,18,Movie,1,0,0,once a week
Female,12,17,Anime,0,0,1,once a month
Male,12,17,Movie TV Program,1,1,0,once a month
Male,12,19,Anime,0,0,1,twice a week
Female,12,17,Anime,0,0,1,everyday
Female,12,17,Anime,0,0,1,once a week
Female,10,15,Anime,0,0,1,once a month
Male,12,16,Anime,0,0,1,once a month
Female,9,14,TV Program,0,1,0,once a week
Male,11,16,Movie,1,0,0,once a year
Male,9,14,Movie,1,0,0,once a month
Female,12,17,TV Program,0,1,0,once a month
Male,11,15,Anime,0,0,1,once a week
Male,12,12,Movie Anime,1,0,1,once a month
Female,12,17,Movie TV Program,1,1,0,once a month
Male,12,17,Movie,1,0,0,once a week
Female,12,17,Movie TV Program Anime,1,1,1,once a week
Male,12,17,Movie TV Program,1,1,0,everyday
Female,12,16,TV Program Anime,0,1,1,once a month
Male,10,16,Movie Anime,1,0,1,once a week
Male,9,15,Movie,1,0,0,once a month
Male,11,17,Movie TV Program Anime,1,1,1,twice a week
Male,12,18,Anime,0,0,1,once a month
Female,12,17,Movie,1,0,0,once a week
Male,12,17,Anime,0,0,1,once a month
Female,12,17,Movie TV Program,1,1,0,once a month
Female,12,17,TV Program Anime,0,1,1,once a month
Male,12,18,Movie,1,0,0,twice a week
Male,12,18,Movie,1,0,0,once a week
Female,12,17,Anime,0,0,1,once a month
Male,12,17,Movie TV Program,1,1,0,once a month
Male,12,19,Anime,0,0,1,twice a week
Female,12,17,Anime,0,0,1,everyday
Female,12,17,Anime,0,0,1,once a week
Female,10,15,Anime,0,0,1,once a month
Male,12,16,Anime,0,0,1,once a month
Female,9,14,TV Program,0,1,0,once a week
Male,11,16,Movie,1,0,0,once a year
Male,9,14,Movie,1,0,0,once a month
Female,12,17,TV Program,0,1,0,once a month
Male,11,15,Anime,0,0,1,once a week
Male,12,12,Movie Anime,1,0,1,once a month
Female,12,17,Movie TV Program,1,1,0,once a month
Male,12,17,Movie,1,0,0,once a week
Female,12,17,Movie TV Program Anime,1,1,1,once a week
Male,12,17,Movie TV Program,1,1,0,everyday
